Course,Enroll_Date,End_Date,Score
Revenue Assurance Foundation Level Exam, 03/20/2021 ,03/20/2021 ,85% 
Revenue Assurance Fundamentals , 03/07/2021, 03/20/2021 
Transition to Virtualization Foundation Level Exam , 03/17/2021, 03/19/2021,98% 
Fundamentals of Transition to Virtualized Networks , 02/28/2021, 03/17/2021 
TM Forum Digital Maturity & Transformation Foundation Level Exam , 03/13/2021, 03/13/2021,80% 
TM Forum Digital Maturity & Transformation Fundamentals , 03/07/2021, 03/13/2021,100% 
Customer Centricity Foundation Level Exam , 03/09/2021, 03/09/2021,90% 
Fundamentals of Customer Centricity , 03/07/2021, 03/09/2021 
Digital Business Ecosystems Foundation Level Exam , 03/08/2021, 03/08/2021, 93% 
Digital Business Ecosystems Fundamentals , 03/07/2021, 03/08/2021, 92% 
Open Digital Architecture Foundation Level Exam , 03/07/2021, 03/07/2021, 80% 
Open Digital Architecture Fundamentals , 02/28/2021, 03/07/2021, 
AI in Telecoms Overview , 02/22/2021, 02/28/2021, 
Business Process Framework (eTOM) Foundation Level Exam , 02/27/2021, 02/27/2021, 68% 
Business Process Framework (eTOM) Fundamentals , 02/16/2021, 02/27/2021, 100% 
Application Framework (TAM) Foundation Level Exam , 02/21/2021, 02/22/2021, 73% 
Application Framework (TAM) Fundamentals , 02/16/2021, 02/21/2021,
Information Framework (SID) Foundation Level Exam , 02/20/2021, 02/20/2021, 70% 
Information Framework (SID) Fundamentals , 02/06/2021, 02/20/2021, 87% 
TM Forum Open API Foundation Level Exam , 02/15/2021, 02/15/2021, 80% 
TM Forum Open API Fundamentals , 02/06/2021, 02/15/2021, 89% 
Frameworx Foundation Level Exam , 02/06/2021, 02/06/2021, 73% 
Frameworx Overview , 01/26/2021, 02/06/2021, 84% 
AI Foundation Level Exam , 01/31/2021, 01/31/2021, 88% 
AI Fundamentals , 01/26/2021, 01/31/2021,